FractureX[m],FractureY[m],FractureZ[m],Formation
14669349.01,4520576.858,-6303.234389,Fracture
14668700.53,4521042.43,-6308.425059,Fracture
14668386.12,4521047.237,-6303.920932,Fracture
14669120.34,4521101.676,-6332.953739,Fracture
14668051.54,4521145.572,-6307.842798,Fracture
14668484.29,4521146.496,-6293.387215,Fracture
14667716.4,4521246.756,-6332.889176,Fracture
14667531.04,4521272.848,-6325.311787,Fracture
14667330.56,4521339.991,-6300.383193,Fracture
14667327.59,4521347.409,-6301.938769,Fracture
14667965.3,4521347.256,-6328.236043,Fracture
14667243.61,4521374.979,-6301.480545,Fracture
14667388.71,4521364.759,-6299.845948,Fracture
14667370.78,4521397.776,-6315.428438,Fracture
14667676.36,4521389.984,-6311.234319,Fracture
14667391.91,4521419.962,-6312.950668,Fracture
14667338.48,4521455.002,-6313.726141,Fracture
14667101.21,4521465.263,-6292.881568,Fracture
14667187.56,4521465.35,-6294.083416,Fracture
14667660.18,4521471.965,-6304.291606,Fracture
14667867.67,4521484.751,-6315.513696,Fracture
14667303.7,4521509.017,-6315.71281,Fracture
14667493.23,4521507.7,-6301.073547,Fracture
14666873.32,4521525.618,-6289.20002,Fracture
14666893.62,4521520.332,-6287.32936,Fracture
14666916.03,4521534.708,-6287.451649,Fracture
14669558.22,4521551.547,-6328.487766,Fracture
14669474.13,4521560.434,-6310.700862,Fracture
14666741.57,4521581.138,-6288.944798,Fracture
14667211.16,4521602.784,-6284.153421,Fracture
14666959.84,4521592.8,-6292.377877,Fracture
14666653.53,4521618.091,-6292.998317,Fracture
14666881.68,4521602.278,-6282.77553,Fracture
14667818.33,4521628.56,-6306.331493,Fracture
14668181.18,4521633.501,-6328.842102,Fracture
14666607.65,4521638.414,-6314.333091,Fracture
14666973.37,4521627.192,-6290.590881,Fracture
14667969.9,4521638.041,-6302.357874,Fracture
14667495.84,4521658.108,-6302.732879,Fracture
14667650.6,4521653.51,-6300.612441,Fracture
14666518.43,4521656.045,-6303.870683,Fracture
14667318.73,4521696.661,-6283.532102,Fracture
14667282.15,4521713.058,-6288.576011,Fracture
14667416.08,4521707.708,-6310.37367,Fracture
14669611.86,4521702.463,-6322.151724,Fracture
14666908.59,4521717.11,-6275.964894,Fracture
14667196.59,4521743.958,-6289.30877,Fracture
14667873.11,4521738.992,-6328.507002,Fracture
14667486.36,4521744.756,-6290.838871,Fracture
14667638.38,4521750.776,-6305.445882,Fracture
14666492.44,4521751.362,-6303.780568,Fracture
14666633.11,4521760.85,-6321.158099,Fracture
14666674.02,4521762.744,-6305.330336,Fracture
14666760.13,4521771.647,-6285.210255,Fracture
14666466.09,4521777.349,-6313.253947,Fracture
14667561.84,4521796.954,-6296.354274,Fracture
14666899.69,4521784.051,-6285.387687,Fracture
14667386.39,4521804.808,-6282.80107,Fracture
14667535.29,4521800.989,-6290.003063,Fracture
14666897.28,4521791.061,-6291.973527,Fracture
14666581.19,4521812.924,-6297.375556,Fracture
14668148,4521820.684,-6299.672316,Fracture
14666653.23,4521823.696,-6314.857492,Fracture
14668483.25,4521843.154,-6316.841693,Fracture
14666197.25,4521839.955,-6313.282496,Fracture
14667056.08,4521843.436,-6296.876489,Fracture
14668450.17,4521859.238,-6295.901855,Fracture
14666881.17,4521867.556,-6270.389167,Fracture
14667239.22,4521898.027,-6275.459678,Fracture
14668249.17,4521903.276,-6310.283455,Fracture
14665926.1,4521907.366,-6299.451698,Fracture
14667071.68,4521904.621,-6274.774278,Fracture
14668316.5,4521926.841,-6316.45797,Fracture
14669786.22,4521922.639,-6310.005801,Fracture
14666758.7,4521919.502,-6278.765285,Fracture
14666680.3,4521933.387,-6313.039069,Fracture
14667782.41,4521953.005,-6296.918158,Fracture
14667800.73,4521953.206,-6326.556828,Fracture
14669037.74,4521958.738,-6295.655191,Fracture
14667006.25,4521960.602,-6277.565241,Fracture
14667396.92,4522006.875,-6282.605129,Fracture
14669279.25,4521988.267,-6299.627474,Fracture
14666404.93,4522001.787,-6330.129706,Fracture
14667047.04,4521993.893,-6266.32349,Fracture
14668604.89,4522010.658,-6317.804743,Fracture
14665962.47,4522012.524,-6328.085415,Fracture
14667569.63,4522038.375,-6318.836026,Fracture
14667571.93,4522037.479,-6297.239163,Fracture
14668153.82,4522044.387,-6301.147567,Fracture
14668263.99,4522047.485,-6297.917155,Fracture
14669519.16,4522043.949,-6299.140241,Fracture
14666224.46,4522049.367,-6312.850627,Fracture
14666649.12,4522046.214,-6307.07365,Fracture
14667346.27,4522074.455,-6288.772503,Fracture
14666770.13,4522057.694,-6293.877063,Fracture
14667167.38,4522071.547,-6268.904774,Fracture
14667335.82,4522088.018,-6287.219485,Fracture
14667905.87,4522095.409,-6325.779699,Fracture
14670057.82,4522094.345,-6302.98937,Fracture
14666552.16,4522088.792,-6314.05342,Fracture
14666654.74,4522087.07,-6292.473054,Fracture
14666992.95,4522089.921,-6286.259582,Fracture
14668595.71,4522128.887,-6317.985244,Fracture
14667379.62,4522141.45,-6284.399212,Fracture
14668889.54,4522138.825,-6294.338281,Fracture
14666654.37,4522138.628,-6303.443361,Fracture
14666132.22,4522155.826,-6334.051321,Fracture
14667479.99,4522169.922,-6300.467229,Fracture
14667716.66,4522164.309,-6298.626262,Fracture
14665216.47,4522169.054,-6318.865037,Fracture
14668136.5,4522184.616,-6325.701708,Fracture
14667342.96,4522195.905,-6279.109603,Fracture
14667437,4522201.052,-6286.724643,Fracture
14667460.56,4522198.754,-6289.847794,Fracture
14667489.14,4522208.771,-6289.599293,Fracture
14665370.64,4522197.842,-6304.264832,Fracture
14668476.94,4522218.113,-6295.242186,Fracture
14668071.03,4522224.008,-6297.365772,Fracture
14667136.88,4522218.52,-6272.777173,Fracture
14667881.16,4522240.207,-6296.802731,Fracture
14669008.05,4522236.226,-6305.384002,Fracture
14666891.85,4522231.741,-6298.463916,Fracture
14666130.13,4522246.436,-6326.590505,Fracture
14667614.18,4522257.756,-6316.682759,Fracture
14667137.68,4522243.06,-6274.459838,Fracture
14667036.35,4522268.321,-6277.868769,Fracture
14667646.25,4522313.229,-6318.45707,Fracture
14667689.48,4522309.133,-6297.532025,Fracture
14668255.38,4522306.394,-6296.956694,Fracture
14669798.52,4522305.779,-6300.754832,Fracture
14664956.38,4522306.759,-6323.788172,Fracture
14667506.34,4522339.637,-6291.26737,Fracture
14667509.03,4522346.474,-6296.166275,Fracture
14667247.97,4522330.584,-6280.385494,Fracture
14667863.02,4522372.917,-6295.129794,Fracture
14669546.58,4522394.342,-6306.783421,Fracture
14666019.34,4522412.033,-6313.482258,Fracture
14667998.05,4522441.383,-6296.147431,Fracture
14666538.75,4522435.784,-6339.395491,Fracture
14666864.11,4522428.713,-6300.117605,Fracture
14666880.55,4522430.832,-6290.20752,Fracture
14667656.36,4522453.905,-6296.554891,Fracture
14667648.58,4522455.835,-6295.684207,Fracture
14667109.07,4522453.323,-6290.985553,Fracture
14668368.61,4522473.997,-6315.054492,Fracture
14668371.55,4522477.647,-6290.117695,Fracture
14665752.41,4522481.13,-6309.525421,Fracture
14667269.58,4522478.08,-6286.049015,Fracture
14667685.21,4522494.242,-6291.0088,Fracture
14667293.48,4522487.996,-6312.86271,Fracture
14668027.86,4522510.092,-6315.398161,Fracture
14669480.41,4522509.307,-6304.434826,Fracture
14667567.23,4522536.751,-6290.085883,Fracture
14667299.63,4522538.169,-6290.137171,Fracture
14667713.35,4522560.018,-6297.143178,Fracture
14667514.49,4522574.794,-6307.048222,Fracture
14667551.68,4522571.441,-6319.672628,Fracture
14668342.98,4522561.854,-6316.532002,Fracture
14665701.82,4522578.437,-6328.785591,Fracture
14668426.11,4522596.722,-6298.750574,Fracture
14666550.13,4522596.482,-6332.978781,Fracture
14668323.34,4522604.092,-6305.357698,Fracture
14665913.22,4522633.918,-6324.328947,Fracture
14668007.27,4522644.264,-6299.626654,Fracture
14668347.56,4522655.982,-6300.483357,Fracture
14667585.83,4522686.023,-6295.250884,Fracture
14667576.72,4522687.493,-6288.935145,Fracture
14667599.12,4522692.412,-6317.763223,Fracture
14669441.63,4522682.221,-6326.663361,Fracture
14667393.68,4522676.087,-6288.865763,Fracture
14667096.02,4522687.449,-6293.969762,Fracture
14667650.47,4522724.482,-6311.631593,Fracture
14667216.69,4522720.788,-6313.306917,Fracture
14668757.37,4522734.482,-6319.970188,Fracture
14665226.38,4522732.635,-6286.475018,Fracture
14667988.69,4522760.682,-6316.484421,Fracture
14668462.97,4522756.268,-6287.551877,Fracture
14667146.64,4522759.022,-6290.58768,Fracture
14668183.24,4522774.675,-6316.877245,Fracture
14667206.73,4522774.362,-6304.837644,Fracture
14668728.16,4522790.793,-6289.322016,Fracture
14666917.53,4522789.944,-6317.074222,Fracture
14668336.88,4522803.687,-6306.215271,Fracture
14666759.3,4522805.149,-6326.638242,Fracture
14667307.23,4522796.219,-6286.454017,Fracture
14668250.59,4522825.447,-6311.861788,Fracture
14667674.45,4522837.526,-6294.727289,Fracture
14668437.32,4522837.284,-6299.253008,Fracture
