X,Y,Z,formation
14669349.01,4520576.86,-6303.23,fracture
14668700.53,4521042.43,-6308.43,fracture
14668386.12,4521047.24,-6303.92,fracture
14669120.34,4521101.68,-6332.95,fracture
14668051.54,4521145.57,-6307.84,fracture
14668484.29,4521146.5,-6293.39,fracture
14667716.4,4521246.76,-6332.89,fracture
14667531.04,4521272.85,-6325.31,fracture
14667330.56,4521339.99,-6300.38,fracture
14667327.59,4521347.41,-6301.94,fracture
14667965.3,4521347.26,-6328.24,fracture
14667243.61,4521374.98,-6301.48,fracture
14667388.71,4521364.76,-6299.85,fracture
14667370.78,4521397.78,-6315.43,fracture
14667676.36,4521389.98,-6311.23,fracture
14667391.91,4521419.96,-6312.95,fracture
14667338.48,4521455,-6313.73,fracture
14667101.21,4521465.26,-6292.88,fracture
14667187.56,4521465.35,-6294.08,fracture
14667660.18,4521471.97,-6304.29,fracture
14667867.67,4521484.75,-6315.51,fracture
14667303.7,4521509.02,-6315.71,fracture
14667493.23,4521507.7,-6301.07,fracture
14666873.32,4521525.62,-6289.2,fracture
14666893.62,4521520.33,-6287.33,fracture
14666916.03,4521534.71,-6287.45,fracture
14669558.22,4521551.55,-6328.49,fracture
14669474.13,4521560.43,-6310.7,fracture
14666741.57,4521581.14,-6288.94,fracture
14667211.16,4521602.78,-6284.15,fracture
14666959.84,4521592.8,-6292.38,fracture
14666653.53,4521618.09,-6293,fracture
14666881.68,4521602.28,-6282.78,fracture
14667818.33,4521628.56,-6306.33,fracture
14668181.18,4521633.5,-6328.84,fracture
14666607.65,4521638.41,-6314.33,fracture
14666973.37,4521627.19,-6290.59,fracture
14667969.9,4521638.04,-6302.36,fracture
14667495.84,4521658.11,-6302.73,fracture
14667650.6,4521653.51,-6300.61,fracture
14666518.43,4521656.05,-6303.87,fracture
14667318.73,4521696.66,-6283.53,fracture
14667282.15,4521713.06,-6288.58,fracture
14667416.08,4521707.71,-6310.37,fracture
14669611.86,4521702.46,-6322.15,fracture
14666908.59,4521717.11,-6275.96,fracture
14667196.59,4521743.96,-6289.31,fracture
14667873.11,4521738.99,-6328.51,fracture
14667486.36,4521744.76,-6290.84,fracture
14667638.38,4521750.78,-6305.45,fracture
14666492.44,4521751.36,-6303.78,fracture
14666633.11,4521760.85,-6321.16,fracture
14666674.02,4521762.74,-6305.33,fracture
14666760.13,4521771.65,-6285.21,fracture
14666466.09,4521777.35,-6313.25,fracture
14667561.84,4521796.95,-6296.35,fracture
14666899.69,4521784.05,-6285.39,fracture
14667386.39,4521804.81,-6282.8,fracture
14667535.29,4521800.99,-6290,fracture
14666897.28,4521791.06,-6291.97,fracture
14666581.19,4521812.92,-6297.38,fracture
